regime_id,volatility,mean_return,duration,skewness,kurtosis,sharpe_ratio
Regime_0,0.4652742460295352,0.4413512423740557,9.0,-0.5103981967432536,-0.875864476892942,0.948583004841491
Regime_1,0.7931850554863917,0.3293620390236238,5.0,-0.6217237412226978,-3.1370991029677997,0.4152398444038442
Regime_2,0.7244689482865831,-0.058976070938491575,11.0,-0.18847804857355432,-0.6956841392597366,-0.08140593337778503
Regime_3,0.4983722941863329,-0.14906830495885262,24.0,-0.015537195691715983,-0.4927185894750017,-0.29911033718724045
Regime_4,0.7753435276758904,0.0655175439463932,11.0,-0.2534412103347879,-1.3412917806682283,0.08450131020347007
Regime_5,0.5401635887202108,0.05282885664834931,152.0,-0.22540727848822695,0.73901821941931,0.09780158779956778
Regime_6,0.5284311018589616,-0.09496001561180711,30.0,-0.8594460223123304,0.7216109753965045,-0.17970179135510456
Regime_7,0.6304994651520313,0.21469758932552074,9.0,-0.3446497195160099,-1.1981299979769662,0.34051985955888336
Regime_8,0.6110051905652899,-0.039320216713984335,8.0,-0.26207215203791623,0.9324730496732547,-0.06435332681479522
Regime_9,0.6385308122497956,0.04050940831771734,12.0,-0.3445959769790192,0.1487269671372511,0.06344158737616239
Regime_10,0.25145745763817084,-0.10067096006446057,5.0,-0.1429093723589307,-2.8327110257703865,-0.400349868363494
Regime_11,0.5476504169175848,-0.8438059249141027,6.0,0.37501788596716573,-2.231513015578763,-1.540774733019305
Regime_12,0.7230101191073398,-0.10338188368393439,5.0,-0.5458239583701135,-0.38495540073124435,-0.14298815597708953
Regime_13,0.7393945039418167,-0.08571176813655254,5.0,-0.5955982453079521,0.8127197756067854,-0.11592156511795933
Regime_14,0.3842229712220326,-0.2641356465316615,6.0,-0.3265411055092242,0.36914813130953306,-0.687454073064841
Regime_15,0.9078915785918903,0.036849283332128745,7.0,-0.4759769699130495,-2.4290890483841205,0.04058775761449485
Regime_16,0.49731285426897975,-0.1598892512367033,7.0,0.10711018011285324,-1.580080500756213,-0.32150637142032246
Regime_17,0.2826915032175785,-0.503046627640233,4.0,0.8990380136021248,-1.0296323123433577,-1.7794897332059332
Regime_18,0.46111287876911944,0.14004106462644259,5.0,0.5806964706344672,-3.206473173779143,0.3037023494122825
Regime_19,0.6103963746916631,-0.6226215684860558,5.0,-0.13041776612339182,-2.377361208796282,-1.0200282870299944
Regime_-1,1.0874564451695348,0.0009599375645206398,634.0,-0.11251601783983332,0.7391742074808669,0.0008827365627236549
